Label,Name,Pronun­ciation,Image,"Abs.
mag.","Dia­meter
(km)","Mass
(× 1015 kg)","Semi-major axis
(km)","Orbital period
(d)","Incli­nation
(°)",Eccen­tric­ity,"Disco­very
year",Year anno­unced,Disco­verer,Group
,S/2024 J 1♥,,,16.9,≈ 2,≈ 0.0042,23462100,−734.38,164.7,0.273,2024,2026,Sheppard,Carme
VIII,Pasiphae‡,/pəˈsɪfeɪiː/,,10.1,57.8,≈ 100,23463200,−734.42,148.3,0.412,1908,1908,Melotte,Pasiphae
,S/2011 J 5♥,,,17.2,≈ 2,≈ 0.0042,23527800,−737.46,164.6,0.251,2011,2026,Sheppard,Carme
XXXVI,Sponde‡,/ˈspɒndiː/,,16.7,≈ 2,≈ 0.0042,23538700,−737.95,149.4,0.323,2001,2002,Sheppard et al.,Pasiphae
,S/2010 J 5♥,,,17.9,≈ 1,≈ 0.00052,23581000,−739.99,164.6,0.257,2010,2026,Ashton et al.,Carme
XIX,Megaclite‡,/ˌmɛɡəˈklaɪtiː/,,15.1,≈ 6,≈ 0.065,23640100,−742.77,149.9,0.421,2000,2001,Sheppard et al.,Pasiphae
XLVIII,Cyllene‡,/səˈliːniː/,,16.3,≈ 2,≈ 0.0042,23650000,−743.21,146.8,0.421,2003,2003,Sheppard,Pasiphae
IX,Sinope‡,/səˈnoʊpiː/,,11.2,35,≈ 22,23679300,−744.60,157.3,0.262,1914,1914,Nicholson,Pasiphae
LIX,S/2017 J 1‡,,,16.8,≈ 2,≈ 0.0042,23739600,−747.44,145.6,0.321,2017,2017,Sheppard,Pasiphae
XLI,Aoede‡,/eɪˈiːdiː/,,15.5,≈ 4,≈ 0.034,23773100,−749.07,155.7,0.437,2003,2003,Sheppard,Pasiphae
XXVIII,Autonoe‡,/ɔːˈtɒnoʊiː/,,15.5,≈ 4,≈ 0.034,23785200,−749.61,150.7,0.326,2001,2002,Sheppard et al.,Pasiphae
XVII,Callirrhoe‡,/kəˈlɪroʊiː/,,14.0,9.6,≈ 0.46,23789400,−749.79,144.9,0.290,1999,2000,Scotti et al.,Pasiphae
,S/2003 J 23‡,,,16.7,≈ 2,≈ 0.0042,23824000,−751.40,144.4,0.306,2003,2004,Sheppard,Pasiphae
,S/2010 J 3‡,,,17.2,≈ 1,≈ 0.00052,23862900,−753.28,148.3,0.313,2010,2026,Sheppard,Pasiphae
XLIX,Kore‡,/ˈkɔːriː/,,16.6,≈ 2,≈ 0.0042,24203300,−769.42,141.7,0.338,2003,2003,Sheppard,Pasiphae
